pa_obligation_id;article;theme;obligation_or_commitment_summary;legal_status;requires_ratification_implementation_review;requires_domestic_legal_anchoring;possible_domestic_actor;implementation_domain;depends_on_pabs_annex;notes
"PA_ART11_001";"Article 11";"technology transfer";"Each Party shall promote and facilitate or incentivize transfer of technology as mutually agreed, including transfer of relevant knowledge, skills and technical expertise for pandemic-related health products, particularly for developing countries, through licensing, capacity-building, regulatory and procurement policy measures";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Science and technology authority; Ministry of Health; Regulatory authority for medicines and health products; Public procurement authority; Legislature / parliament";"technology transfer and know-how";"No";"Adopted text; requires ratification/implementation review; 'as mutually agreed' qualification preserves negotiated nature; domestic enabling legislation may be needed for compulsory licensing or IP policy reform"
"PA_ART11_002";"Article 11";"technology transfer";"Each Party shall take measures to enhance the availability of licences for pandemic-related health technologies it owns on a non-exclusive, transparent and broad geographic basis and for the benefit of developing countries, and encourage private rights holders to do the same";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Science and technology authority; Legislature / parliament; Regulatory authority for medicines and health products";"licensing";"No";"Adopted text; State-owned IP licensing obligation may require IP legislation amendment; private sector encouragement is non-binding"
"PA_ART11_003";"Article 11";"technology transfer";"Each Party shall publish in a timely manner the terms of its licensing agreements relevant to promoting timely and equitable global access to pandemic-related health technologies, in accordance with applicable law, and shall encourage private rights holders to do the same";"adopted agreement provision requiring future ratification/implementation";"Yes";"Partial / administrative implementation possible";"Science and technology authority; Legislature / parliament";"technology transfer and know-how";"No";"Adopted text; transparency on licensing terms; State-owned IP terms are publicly disclosable; private sector encouragement non-binding"
"PA_ART11_004";"Article 11";"technology transfer";"Parties that are WTO members reaffirm their right to use TRIPS flexibilities and the Doha Declaration to protect public health, including in future pandemics; Parties shall respect use of these flexibilities consistent with TRIPS";"framework obligation";"Yes";"Yes";"Legislature / parliament; Regulatory authority for medicines and health products";"legal and regulatory framework";"No";"Adopted text; TRIPS flexibilities must be operationalized domestically; compulsory licensing, parallel imports and government use provisions may require existing or new domestic legislation"
"PA_ART11_005";"Article 11";"technology transfer";"Each Party should review and consider amending its national legislation to ensure it can implement Article 11 (technology transfer and licensing) in a timely and effective manner";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Legislature / parliament; Science and technology authority; Regulatory authority for medicines and health products";"parliamentary/legal review";"No";"Adopted text; 'should review' is a strong recommendation to States; domestic legislation for IP, technology transfer and compulsory licensing should be reviewed post-ratification"
"PA_ART12_001";"Article 12";"PABS";"Parties hereby establish a multilateral system for safe, transparent and accountable access and benefit-sharing for PABS Materials and Sequence Information — the WHO PABS System — recognizing State sovereignty over biological resources and the importance of rapid pathogen sharing and equitable benefit-sharing on an equal footing";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; National laboratory network; National public health authority";"laboratories and pathogen sharing";"Partially";"Adopted text; PABS System is established but its operational details require the PABS Annex; domestic implementation depends on annex adoption; update required after PABS Annex adoption"
"PA_ART12_002";"Article 12";"PABS";"The provisions governing the PABS System — including definitions of pathogens with pandemic potential and PABS Materials and Sequence Information, modalities, legal nature, terms and conditions, and operational dimensions — shall be developed in the PABS Instrument (Annex to the Agreement); all PABS System elements shall come into operation simultaneously";"PABS-related provision pending annex";"TBD after PABS Annex adoption";"TBD after PABS Annex adoption";"TBD after country mapping";"laboratories and pathogen sharing";"Yes";"Details subject to final PABS Annex; update required after adoption; Agreement only establishes the frame — all operational content is delegated to the Annex"
"PA_ART12_003";"Article 12";"PABS";"In the event of a pandemic emergency, each participating manufacturer shall make available to WHO rapid access targeting 20% of their real-time production of safe, quality and effective vaccines, therapeutics and diagnostics, with a minimum 10% donation and the remaining percentage at affordable prices";"PABS-related provision pending annex";"TBD after PABS Annex adoption";"TBD after PABS Annex adoption";"Regulatory authority for medicines and health products; Ministry of Health; Public procurement authority";"access to vaccines, diagnostics and therapeutics";"Yes";"Adopted text Art. 12.6 sets the target and minimum threshold; 'participating manufacturer' is to be defined in PABS Instrument; domestic implementation depends on PABS Annex and WHO PABS Contract mechanism; update required after adoption"
"PA_ART12_004";"Article 12";"PABS";"The PABS Instrument shall include benefit sharing provisions during a PHEIC, including options on access to safe, quality and effective vaccines, therapeutics and diagnostics for the pathogen causing the PHEIC, pursuant to legally binding contracts with WHO";"PABS-related provision pending annex";"TBD after PABS Annex adoption";"TBD after PABS Annex adoption";"TBD after country mapping";"access to vaccines, diagnostics and therapeutics";"Yes";"Details subject to final PABS Annex; update required after adoption"
"PA_ART12_005";"Article 12";"PABS";"The PABS Instrument shall include additional benefit sharing provisions in legally binding contracts, including: capacity-building and technical assistance; R&D cooperation; rapid access to vaccines, therapeutics and diagnostics; non-exclusive licences for manufacturers in developing countries; and other forms of technology transfer as mutually agreed";"PABS-related provision pending annex";"TBD after PABS Annex adoption";"TBD after PABS Annex adoption";"TBD after country mapping";"access and benefit-sharing";"Yes";"Details subject to final PABS Annex; update required after adoption; these benefit types are enumerated in adopted text Art. 12.8 but their specific terms are delegated to the Annex"
"PA_ART12_006";"Article 12";"PABS";"Parties shall review and, as appropriate, align their national/regional access and benefit-sharing measures applicable to PABS Materials and Sequence Information within the scope of the PABS Instrument, so that contradictory or duplicative measures will not be applied upon entry into operation of the PABS System";"PABS-related provision pending annex";"TBD after PABS Annex adoption";"Yes";"Legislature / parliament; Ministry of Health; National public health authority";"legal and regulatory framework";"Yes";"Adopted text Art. 12.5(d)(ii); domestic ABS review is a legally significant State obligation; requires legislative review post-PABS Annex adoption; update required after adoption"
"PA_ART13_001";"Article 13";"supply chain";"The Global Supply Chain and Logistics Network (GSCL Network) is hereby established to enhance and ensure equitable, timely, safe and affordable access to pandemic-related health products during PHEICs and prevention; coordinated and convened by WHO under the oversight of the Conference of the Parties";"institutional commitment";"Yes";"Partial / administrative implementation possible";"Ministry of Health; Public procurement authority; National IHR Authority / National IHR Focal Point";"procurement and supply chains";"No";"Adopted text; GSCL Network is established; structure, functions and modalities to be defined by the first Conference of the Parties; domestic procurement policies may need to align with GSCL obligations"
"PA_ART13_002";"Article 13";"supply chain";"Parties shall prioritize, as appropriate, sharing pandemic-related health products through the GSCL Network for equitable allocation based on public health risk and need, in particular during pandemic emergencies";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; Public procurement authority; Customs / border authorities";"procurement and supply chains";"No";"Adopted text; prioritization obligation for product sharing may require domestic procurement policy reform and export facilitation measures"
"PA_ART14_001";"Article 14";"procurement and distribution";"Each Party shall endeavour to publish the relevant terms of its purchase agreements with manufacturers for pandemic-related health products at the earliest reasonable opportunity during a pandemic, and to exclude confidentiality provisions limiting such disclosure";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Public procurement authority; Legislature / parliament";"procurement and supply chains";"No";"Adopted text; transparency in procurement contracts may require reform of domestic procurement law and confidentiality rules"
"PA_ART14_002";"Article 14";"equitable access";"Each Party shall consider including provisions in publicly funded purchase agreements for pandemic-related health products that promote timely and equitable access for developing countries, such as donation, delivery modification, licensing and global access plans";"implementation-oriented commitment";"Yes";"Partial / administrative implementation possible";"Public procurement authority; Ministry of Finance";"procurement and supply chains";"No";"Adopted text; 'consider including' is a best-efforts obligation; procurement policy change may be achievable administratively"
"PA_ART14_003";"Article 14";"equitable access";"During a pandemic, each Party shall consider setting aside a portion of its total procurement of diagnostics, therapeutics or vaccines in a timely manner for use in countries facing challenges in meeting public health needs";"implementation-oriented commitment";"Yes";"Partial / administrative implementation possible";"Public procurement authority; Ministry of Health; Ministry of Finance";"procurement and supply chains";"No";"Adopted text; solidarity procurement obligation; 'consider' qualifier softens binding force; may require procurement policy guidance"
"PA_ART14_004";"Article 14";"supply chain";"Parties shall take measures to promote rational use and reduce waste of pandemic-related health products in order to support effective global distribution, delivery and administration, including with GSCL Network support";"implementation-oriented commitment";"Yes";"Partial / administrative implementation possible";"Ministry of Health; National public health authority";"procurement and supply chains";"No";"Adopted text; rational use obligation; largely achievable through administrative and public health guidance"
"PA_ART14_005";"Article 14";"supply chain";"During a pandemic emergency, each Party should avoid maintaining national stockpiles of pandemic-related health products that unnecessarily exceed the quantities anticipated for domestic pandemic preparedness and response";"implementation-oriented commitment";"Yes";"Partial / administrative implementation possible";"Ministry of Health; Public procurement authority";"procurement and supply chains";"No";"Adopted text; 'should avoid' obligation; anti-hoarding norm; may require domestic stockpile management policy and coordination with GSCL"
"PA_ART15_001";"Article 15";"national governance";"Parties are encouraged to apply whole-of-government and whole-of-society approaches at the national level, including to empower community ownership and contribution to pandemic prevention, preparedness and response";"implementation-oriented commitment";"Yes";"Partial / administrative implementation possible";"Ministry of Health; Subnational governments; National public health authority";"national coordination";"No";"Adopted text; encouragement norm; whole-of-government approach may be operationalized through executive coordination mechanisms without legislation"
"PA_ART15_002";"Article 15";"national governance";"Each Party is urged to establish or strengthen, and maintain, a national multisectoral coordination mechanism for pandemic prevention, preparedness and response";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; Legislature / parliament; Subnational governments";"national coordination";"No";"Adopted text; 'urged to establish' is a strong normative expectation; formal multisectoral mechanism often requires legal establishment, especially in federal systems"
"PA_ART15_003";"Article 15";"national governance";"Each Party shall promote and facilitate the effective and meaningful engagement of Indigenous Peoples, communities, and relevant stakeholders in planning, decision-making, implementation, monitoring and evaluation of pandemic policies";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; Legislature / parliament; Subnational governments";"national coordination";"No";"Adopted text; Indigenous Peoples engagement obligation may require domestic free prior informed consent frameworks or indigenous peoples participation mechanisms"
"PA_ART15_004";"Article 15";"preparedness";"Each Party shall take measures to mitigate the socioeconomic impacts of pandemics and strengthen national public health and social policies including social protection, to facilitate rapid, inclusive, resilient response especially for persons in vulnerable situations";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; Subnational governments; Legislature / parliament; Ministry of Finance";"emergency preparedness and response";"No";"Adopted text; social protection and socioeconomic mitigation require domestic legal frameworks"
"PA_ART15_005";"Article 15";"preparedness";"Each Party shall develop comprehensive, multisectoral, and as appropriate regional and national pandemic prevention, preparedness and response plans addressing pre-, post- and inter-pandemic periods, in a transparent and inclusive manner";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; Subnational governments; National public health authority; One Health coordination mechanism";"emergency preparedness and response";"No";"Adopted text; comprehensive pandemic planning obligation; may require formal legal basis for national plan development and inter-agency coordination"
"PA_ART15_006";"Article 15";"national governance";"Each Party shall promote and facilitate, where appropriate, education and community engagement initiatives on pandemic and public health emergencies, with participation of relevant stakeholders in an inclusive and accessible manner";"implementation-oriented commitment";"Yes";"Partial / administrative implementation possible";"Ministry of Health; National public health authority; Subnational governments";"national coordination";"No";"Adopted text; education and engagement obligations largely achievable through administrative action and public health programming"
"PA_ART16_001";"Article 16";"national governance";"Each Party shall take measures to strengthen science, public health and pandemic literacy in the population, and access to transparent, timely, accurate, science and evidence-based information, including on pandemic-related health product efficacy and safety, through risk communication and community engagement";"adopted agreement provision requiring future ratification/implementation";"Yes";"Partial / administrative implementation possible";"Ministry of Health; National public health authority; Subnational governments";"national coordination";"No";"Adopted text; public awareness and health literacy obligation; largely achievable through administrative action; may require dedicated communication infrastructure and resources"
"PA_ART16_002";"Article 16";"information and reporting";"Each Party shall conduct research and inform policies on factors that hinder or strengthen adherence to public health and social measures and trust in science and public health institutions";"adopted agreement provision requiring future ratification/implementation";"Yes";"Partial / administrative implementation possible";"National public health authority; Science and technology authority";"research and development";"No";"Adopted text; evidence-informed policy obligation; largely implementable through administrative investment in behavioral and social science research"
"PA_ART17_001";"Article 17";"international cooperation";"Parties shall cooperate, directly or through international organizations, to sustainably strengthen pandemic prevention, preparedness and response capacities of all Parties, particularly developing countries, including through technology transfer, scientific and legal expertise sharing, and financial assistance";"cooperation commitment";"Yes";"Partial / administrative implementation possible";"Ministry of Foreign Affairs; Ministry of Health; Ministry of Finance";"international cooperation";"No";"Adopted text; international cooperation obligation requires domestic mandates for bilateral and multilateral health assistance; may require budgetary allocation and legal authority for international support"
"PA_ART17_002";"Article 17";"international cooperation";"Particular consideration shall be given to the specific needs and circumstances of developing country Parties in identifying and enabling access to sustainable and predictable means to support WHO Pandemic Agreement implementation";"cooperation commitment";"Yes";"Partial / administrative implementation possible";"Ministry of Foreign Affairs; Ministry of Finance";"financing and budgetary planning";"No";"Adopted text; developing country support obligation; implementation requires ODA and financing policy direction"
"PA_ART18_001";"Article 18";"financing";"Parties shall strengthen sustainable and predictable financing, in an inclusive and transparent manner, for the implementation of the WHO Pandemic Agreement";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Finance; Ministry of Health; Legislature / parliament";"financing and budgetary planning";"No";"Adopted text; sustainable financing obligation requires domestic budgetary planning and possibly legislative appropriations"
"PA_ART18_002";"Article 18";"financing";"Each Party, subject to national law and available resources, shall: maintain or increase domestic funding for pandemic prevention, preparedness and response; work to mobilize additional financial resources for developing countries; promote innovative financing within bilateral and multilateral mechanisms; and encourage inclusive governance of existing financing entities";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Finance; Legislature / parliament; Ministry of Health";"financing and budgetary planning";"No";"Adopted text; domestic funding maintenance obligation has budgetary and potentially legislative implications; innovative financing promotion requires policy development"
"PA_ART18_003";"Article 18";"financing";"A Coordinating Financial Mechanism is hereby established (utilizing the IHR 2005 Coordinating Financial Mechanism) to promote sustainable financing for Agreement implementation, support capacity strengthening, and contribute to surge financing; governed by the Conference of the Parties";"institutional commitment";"Yes";"Yes";"Ministry of Finance; Ministry of Foreign Affairs; Ministry of Health";"financing and budgetary planning";"No";"Adopted text; CFM is established and tied to IHR 2005 CFM; terms of reference to be adopted by COP within 12 months of entry into force; domestic participation requires coordination of finance and health ministries"
"PA_ART19_001";"Article 19";"implementation and review";"A Conference of the Parties is hereby established; it shall regularly take stock of Agreement implementation, review its functioning every five years, take decisions to promote effective implementation, and may establish subsidiary bodies";"institutional commitment";"Yes";"Partial / administrative implementation possible";"Ministry of Health; Ministry of Foreign Affairs";"international cooperation";"No";"Adopted text; COP is established; participation requires domestic coordination between health and foreign affairs ministries; COP to adopt rules of procedure and financial rules at first session"
"PA_ART19_002";"Article 19";"implementation and review";"The Conference of the Parties at its second meeting shall consider and approve the establishment of a facilitative, non-punitive implementation mechanism to review Party reports, make non-binding recommendations and operate under COP-adopted rules of procedure";"institutional commitment";"Yes";"Partial / administrative implementation possible";"Ministry of Health; Ministry of Foreign Affairs";"reporting and accountability";"No";"Adopted text; implementation mechanism to be established; non-punitive and facilitative in nature; domestic reporting and review processes should align with Art. 21 reporting requirements"
"PA_ART21_001";"Article 21";"implementation and review";"Each Party shall report periodically to the Conference of the Parties, through the Secretariat, on its implementation of the WHO Pandemic Agreement; information requirements, frequency and format to be determined by the COP; reports shall be made publicly available online";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; National IHR Authority / National IHR Focal Point; National public health authority";"reporting and accountability";"No";"Adopted text; periodic reporting obligation; domestic data collection and inter-agency coordination required; confidentiality and privacy protections apply per Art. 21.4; format TBD by COP"
"PA_ART21_002";"Article 21";"implementation and review";"The reporting and exchange of information under the Agreement shall be subject to national law regarding confidentiality and privacy; Parties shall protect, as mutually agreed, any confidential information exchanged";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Data protection authority; Ministry of Health; Legislature / parliament";"reporting and accountability";"No";"Adopted text; data protection and confidentiality framework for reporting requires domestic legal basis; alignment with domestic privacy legislation needed"
"PA_ART22_001";"Article 22";"implementation and review";"Nothing in the Agreement shall be interpreted as providing the WHO Secretariat, including the Director-General, any authority to direct, order, alter or otherwise prescribe national law or policy, or to mandate specific actions such as banning travellers, imposing vaccination mandates or implementing lockdowns";"framework obligation";"No";"No";"TBD after country mapping";"legal and regulatory framework";"No";"Adopted text; sovereignty safeguard clause; reaffirms national legislative autonomy; no domestic implementation required"
"PA_ART24_001";"Article 24";"international cooperation";"Parties recognize that the WHO Pandemic Agreement and the IHR (2005) and other relevant international agreements should be interpreted so as to be compatible; Agreement does not affect rights and obligations under other international agreements";"framework obligation";"Yes";"Partial / administrative implementation possible";"Ministry of Health; Ministry of Foreign Affairs; Legislature / parliament";"legal and regulatory framework";"No";"Adopted text; coherence clause with IHR 2005; domestic implementation should be reviewed for consistency between Agreement and IHR obligations; no standalone domestic obligation"
"PA_ART31_001";"Article 31";"implementation and review";"The WHO Pandemic Agreement shall be open for signature after adoption of the PABS Annex by the Health Assembly, at WHO Headquarters and then UN Headquarters on dates to be determined by the Health Assembly";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Foreign Affairs; Legislature / parliament";"parliamentary/legal review";"Yes";"Adopted text; signature is contingent on PABS Annex adoption; States cannot sign until the Annex is adopted; domestic ratification process should not begin before Annex is in place"
"PA_ART32_001";"Article 32";"implementation and review";"The WHO Pandemic Agreement shall be subject to ratification, acceptance, approval, formal confirmation or accession by all States and regional economic integration organizations; instruments to be deposited with the Depositary (UN Secretary-General)";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Legislature / parliament; Ministry of Foreign Affairs";"parliamentary/legal review";"Yes";"Adopted text; ratification process requires domestic constitutional procedures; national parliaments may need to approve; PABS Annex must also be adopted before signature opens"
"PA_ART33_001";"Article 33";"implementation and review";"The WHO Pandemic Agreement shall enter into force on the thirtieth day following deposit of the sixtieth instrument of ratification, acceptance, approval, formal confirmation or accession";"adopted agreement provision requiring future ratification/implementation";"Yes";"Partial / administrative implementation possible";"Ministry of Foreign Affairs; Legislature / parliament";"parliamentary/legal review";"Yes";"Adopted text; entry into force depends on 60 ratifications; domestic legal anchoring of obligations begins upon entry into force for each Party; prior measures should be voluntary"
"PA_GENERAL_001";"Article 12 / Article 31 / Article 32";"PABS";"The WHO Pandemic Agreement is not yet open for signature: signature requires prior adoption of the PABS Annex by the Health Assembly; until the Annex is adopted and the Agreement enters into force, all Agreement provisions are aspirational and no State is bound as a Party";"uncertain / requires review";"TBD after PABS Annex adoption";"TBD after PABS Annex adoption";"TBD after country mapping";"legal and regulatory framework";"Yes";"Cross-cutting note; the Agreement was adopted 20 May 2025 but cannot be signed until PABS Annex is adopted (WHA78.1 para. 3); preliminary domestic analysis may begin but no legally binding obligations arise prior to entry into force per Art. 33"
