"area","current_ihr2005_anchoring_pattern","main_mexico_actors","main_gap_type","ihr2024_implication","pandemic_agreement_implication","pabs_dependency","capacity_building_entry_point","confidence_level","review_status","notes"
"National IHR Focal Point / National IHR Authority","Relatively stronger statutory-administrative anchoring. Art. 35 frac. XIX of the Reglamento Interior SS 2025 (MEX-017) explicitly designates DGE as the RSI National Focal Point. NOM-017 numeral 6.6.1-6.6.2 reinforces this at regulatory level. Actor fit is strong; operational procedures for 24-hour availability, WHO communication protocols, and backup coverage are not fully codified in the available corpus. Anchoring level: 3/5 (OBL-001).","Dirección General de Epidemiología (DGE); Secretaría de Salud (SS); DGRI-SS; SRE","procedural gap; update-review needed","IHR 2024 amendments (Arts. 1 and 4) introduce a distinct National IHR Authority concept, separate from the IHR National Focal Point. States Parties are required to designate or establish a National IHR Authority and notify WHO of its contact details. This may require review of whether the DGE NFP designation is sufficient or whether a broader multi-sector National IHR Authority with inter-ministerial coordination functions needs to be formally designated. IHR24-CHG-001, 006, 007, 008, 009.","Relevant to national governance: PA Art. 15(2) urges each Party to establish or strengthen a national pandemic coordination mechanism with whole-of-government and whole-of-society approaches. The National IHR Authority and pandemic coordination functions are likely to overlap or need alignment. PA_ART15_002.","No","Verify legal basis and operational protocols of DGE as IHR National Focal Point; clarify whether the 2024 National IHR Authority requirement calls for a broader institutional designation or can be fulfilled by strengthening existing DGE functions; map inter-ministerial coordination mechanisms needed for full National IHR Authority functions.","high","preliminary_ai_assisted","Based on IHR 2005 mapping (OBL-001), IHR24-CHG-001/006-009, PA_ART15_002. The distinction between National IHR Authority and IHR National Focal Point is new in the 2024 amendments and has not been assessed against Mexican institutional law in this mapping. Expert constitutional/administrative law review required."
"Surveillance and early warning","Partial statutory anchoring. LGS Art. 134 establishes SINAVE with a national surveillance mandate. NOM-017-SSA2-2012 provides the principal regulatory framework. DGE operational authority is anchored in Reglamento Interior SS Art. 35. Self-assessment obligation (IHR Annex 1A par. 2) has no domestic anchoring identified. Annex 1A benchmarks (community, intermediate, national levels) are partially met by SINAVE governance but not with IHR-specific minimum capacity specifications. Anchoring levels: 0 (OBL-011), 2 (OBL-002, 012, 013, 014, 015).","DGE; SS; CONAVE; CENAPRECE; entidades federativas (SINAVE nodes); COFEPRIS","regulatory gap; procedural gap; federal implementation gap","IHR 2024 Annex 1 amendments significantly expand the minimum capacity requirements: local-level capacities now include health services access and community engagement; intermediate-level capacities add coordination, risk communication, and misinformation/disinformation management; national-level capacities add clinical guidance, health product access, and risk communication. Prevention is added to the IHR purpose (Art. 2) and to core capacity obligations (Art. 5, Annex 1 title). IHR24-CHG-004, 010, 047, 049, 050, 051. May require review of SINAVE scope and capacity benchmarks.","Relevant to prevention, preparedness, and surveillance: PA Arts. 4 and 5 require multisectoral surveillance for early detection, community-level reporting mechanisms, and a One Health approach. PA_ART04_005, PA_ART04_006, PA_ART05_001.","Partially","Review whether SINAVE legal framework and NOM-017 are adequate to anchor expanded IHR 2024 Annex 1 core capacity requirements; assess whether community-level and intermediate-level surveillance capacities are operationally specified in state-level instruments; verify whether the IHR self-assessment mechanism (Annex 1A par. 2) has a domestic procedural equivalent.","medium","preliminary_ai_assisted","Based on OBL-002/003/011-015 in IHR 2005 mapping; IHR24-CHG-004/010/047-051; PA_ART04_005-006/PA_ART05_001-003. State-level SINAVE implementation not covered by this corpus. PABS dependency is partial because pathogen access and sequence sharing (PABS draft) connects to laboratory surveillance capacity."
"Notification and information-sharing","Relatively stronger statutory-administrative anchoring for the primary notification obligation. LGS Art. 136 frac. I provides the general notification mandate; Reglamento LGS Sanidad Internacional (MEX-016) Art. 14 assigns a specific duty to notify WHO. DGE NFP designation provides the institutional channel. The Annex 2 decision instrument is not domestically codified. Post-notification continuous reporting (IHR Art. 6(2)) has partial anchoring only. Anchoring levels: 3 (OBL-004), 2 (OBL-005, 006), 1 (OBL-007, 008, 009).","DGE (NFP); SS; DGRI-SS; SRE","procedural gap; administrative-only anchoring","IHR 2024 Art. 8 strengthens the consultation obligation from optional to expected ('may' to 'should'), potentially increasing the procedural requirements for non-notification event consultation with WHO. IHR24-CHG-012. Annex 2 decision instrument also updated to include clusters of severe acute respiratory disease. IHR24-CHG-053. These may require review of notification procedures and DGE/DGRI operational protocols.","Relevant to information and reporting: PA Art. 6(3) requires Parties to develop and maintain national surveillance and reporting systems. PA Art. 21 establishes periodic reporting obligations to the Conference of the Parties. PA_ART06_003, PA_ART21_001, PA_ART21_002.","No","Verify whether DGE has documented internal procedures for Annex 2 risk assessment; review whether the strengthened Art. 8 consultation expectation requires formalisation of WHO consultation protocols at DGE or DGRI level; assess whether Annex 2 decision instrument updates (clusters of severe acute respiratory disease) are reflected in SINAVE alert criteria.","high","preliminary_ai_assisted","Based on OBL-004/005/006/007/008/009. IHR24-CHG-011/012/053. The notification framework has the strongest IHR 2005 anchoring in the Mexican corpus, but operational gaps (time windows, WHO formats) are well-documented."
"Verification and consultation","Weak anchoring. IHR obligations for WHO-requested verification (Art. 10(2)), non-state source response (Art. 9(2)), and informal consultation (Art. 8) are anchored at actor-only level through DGE NFP designation. No domestic provision specifies 24-hour response windows, internal authorization chains, or WHO communication procedures for these obligations. Anchoring levels: 1 (OBL-007, 008, 009).","DGE (NFP); DGRI-SS; SRE","procedural gap; administrative-only anchoring","IHR 2024 Art. 8 strengthens consultation expectation. Art. 10 adjusts WHO collaboration offer triggers. These changes may increase procedural requirements for the Mexican NFP/National IHR Authority in responding to WHO enquiries and managing consultations. IHR24-CHG-012, IHR24-CHG-013.","Relevant to information and reporting and international cooperation: rapid information sharing and WHO consultation functions will be expected under the Agreement's transparency obligations. PA_ART06_003.","No","Identify whether DGE/DGRI have internal protocols for 24-hour WHO response; consider whether these functions should be codified in an administrative instrument (circular, protocol) to ensure continuity across administrations; review alignment between the strengthened Art. 8 consultation expectation and current SS-DGRI-SRE coordination practice.","medium","requires_human_review","Based on OBL-007/008/009. No domestic procedure for Arts. 8-10 verification/consultation identified in corpus. Gap may be filled by administrative practice not captured in the legal corpus. Expert operational review recommended."
"Public health response capacities","Partial statutory anchoring. LGS Arts. 181 and 184 provide the statutory basis for emergency health response and resource deployment. Reglamento Interior SS Art. 43 frac. IX assigns territorial emergency response functions. These provisions partially anchor IHR Art. 13 response capacity obligations. IHR Annex 1A response benchmarks are not domestically specified. Anchoring level: 2 (OBL-010, 015).","SS; CSG; DGE; CENAPRECE; entidades federativas; DGRI-SS","regulatory gap; federal implementation gap; coordination gap","IHR 2024 significantly expands response capacity requirements: pandemic emergency determination activates Art. 13(8) equitable access obligations; Annex 1 national-level capacities now include clinical guidance provision and health product access during response; humanitarian settings are added to response scope. IHR24-CHG-015, 018, 051. The pandemic emergency sub-category may require domestic emergency legislation to distinguish between PHEIC and pandemic emergency response triggers.","Relevant to preparedness and health systems resilience: PA Arts. 6 and 15 require Parties to develop health system functions for equitable emergency response, pandemic preparedness plans, and socioeconomic impact mitigation. PA_ART06_001, PA_ART06_002, PA_ART15_004, PA_ART15_005.","No","Review whether the LGS Art. 181/184 emergency framework distinguishes or needs to distinguish between PHEIC and pandemic emergency response; map federal-state coordination chains for emergency health deployment; assess whether Annex 1A national-level response benchmarks (clinical guidance, health product access) have corresponding domestic implementing instruments.","medium","preliminary_ai_assisted","Based on OBL-010/015. IHR24-CHG-015/018/051. PA_ART06_001-002/PA_ART15_004-005. The reactive emergency powers framework (LGS Arts. 181/184) is present but the proactive capacity-building dimension of IHR Art. 13 is not directly addressed."
"Risk communication","No specific anchoring identified in available IHR 2005 mapping. IHR 2005 Art. 11 (public communication) and related obligations were not mapped as standalone domestic anchoring obligations in the current corpus. The available corpus does not contain a dedicated risk communication legal framework for public health emergencies. This area requires expanded legal review.","SS; DGE; CSG; CENAPRECE; Secretaría de Gobernación (SEGOB)","regulatory gap; administrative-only anchoring","IHR 2024 Annex 1 amendments add risk communication and management of health misinformation and disinformation to intermediate-level core capacities. Risk communication is also added to national-level core capacities. IHR24-CHG-050, 051. This may require review of whether Mexico has a dedicated legal or regulatory framework for public health risk communication and infodemic management.","Relevant to prevention and national governance: PA Art. 4 addresses health literacy and community engagement as prevention tools. PA Art. 15(3) requires Parties to promote and facilitate effective and meaningful engagement of relevant stakeholders, including civil society, in pandemic preparedness and response. PA_ART04_012, PA_ART15_003.","No","Identify whether Mexico has a domestic legal or administrative basis for public health risk communication, infodemic management, and coordinated government communication during health emergencies; assess alignment with IHR 2024 Annex 1 intermediate and national-level risk communication capacity requirements.","low","requires_human_review","Risk communication was not mapped as a standalone IHR 2005 obligation in this corpus. Assessment is based on IHR24-CHG-050/051 and PA_ART15_003/PA_ART04_012. Low confidence due to absence from the IHR 2005 mapping baseline. Dedicated legal review required."
"Points of entry","Partial to moderate regulatory anchoring. The Reglamento LGS Sanidad Internacional (MEX-016) provides the main regulatory framework: Art. 10 designates IHR PoE (airports, ports, ground crossings); Arts. 26-27 specify minimum health service capacities at designated PoE. LGS Art. 352 provides statutory backing. COFEPRIS and SS share competence at PoE. Ship Sanitation Certificate obligations (IHR Arts. 20(2), 36, 39) have weak or no domestic anchoring identified. Anchoring levels: 3 (OBL-016, 019), 2 (OBL-017, 018, 022, 023), 1 (OBL-020, 021).","SS; COFEPRIS; DGE; autoridades portuarias y aeroportuarias; INM; SAT-Aduana (ground crossings)","partial regulatory gap; procedural gap; update-review needed","IHR 2024 aligns PoE capacity language with the expanded Annex 1 framework and adds laboratory capacity to PHEIC-response PoE capacities (IHR24-CHG-052). PoE core capacity language is updated in Arts. 19-21 (IHR24-CHG-026, 027, 028). These changes may require review of whether Arts. 26-27 of the Reglamento Sanidad Internacional (1985) remain adequate or whether updated regulatory instruments are needed.","Relevant to health systems and preparedness: PA Art. 6 addresses health system functions for equitable emergency response including at subnational and regional levels. PoE are an operational interface for both IHR and Pandemic Agreement implementation. PA_ART06_002.","No","Assess whether Arts. 26-27 of the 1985 Reglamento Sanidad Internacional remain adequate for IHR 2024 expanded Annex 1B PoE capacities; verify which authority is competent to issue Ship Sanitation Certificates and whether this procedure is codified; review ground-crossing health service capacity relative to the designated PoE list in Art. 10.","high","preliminary_ai_assisted","Based on OBL-016/017/018/019/020/021/022/023. IHR24-CHG-026/027/028/052. The 1985 Reglamento Sanidad Internacional is the principal regulatory anchor for this area and has never been updated for IHR 2005. This creates a systemic currency risk for all PoE-related obligations."
"Health measures and travellers","Partial statutory and regulatory anchoring. LGS Art. 139 provides statutory authority for health security measures including isolation and quarantine. Reglamento LGS Sanidad Internacional Arts. 68-70 specify isolation/quarantine procedures. Constitutional protections (CPEUM Arts. 1, 14, 29) provide rights-safeguard context. IHR-specific requirements for informed consent, dignity standards, non-discrimination, and traveller information are not operationalised in implementing health-sector provisions. The absence of a charge prohibition (Art. 40) is a full gap. Anchoring levels: 2 (OBL-024 through 031), 0 (OBL-037).","SS; COFEPRIS; DGE; INM; autoridades portuarias y aeroportuarias; CNDH","rights-safeguard gap; procedural gap; full gap (Art. 40)","IHR 2024 Art. 24 extends conveyance operator health measure obligations to cover embarkation and disembarkation phases (IHR24-CHG-029). Art. 27 explicitly adds quarantine to the list of measures applicable to affected conveyances (IHR24-CHG-030). These extensions may require review of whether Reglamento Sanidad Internacional Art. 44 and related provisions adequately cover the full embarkation-to-disembarkation cycle.","Relevant to health systems and preparedness: PA Art. 6 addresses equitable health system functions including for vulnerable populations; traveller rights safeguards connect to the equity and human rights framing of the Agreement. PA_ART06_001.","No","Review whether implementing health-sector regulations operationalise constitutional rights protections (informed consent, dignity, non-discrimination) in the specific IHR health measure context; assess whether the Art. 40 full gap (no prohibition on traveller charges) requires legislative or regulatory action; examine whether IHR 2024 extensions to embarkation/disembarkation phases are covered by existing provisions.","medium","preliminary_ai_assisted","Based on OBL-024/025/026/027/028/029/030/031/037. IHR24-CHG-029/030. Rights safeguard gaps are consistent across this area and represent a systematic implementation challenge. CNDH advisory competence may be relevant."
"Digital / non-digital health documentation","Partial regulatory anchoring. Reglamento LGS Sanidad Internacional Art. 9 governs health documents at PoE, partially anchoring IHR documentation obligations (Arts. 35, 37, 38, 39). Art. 5 provides aviation-specific definitional anchoring. Specific IHR Maritime Ship Declaration of Health forms, Aircraft General Declaration Health Part procedures, and Ship Sanitation Certificate issuance are not fully codified in the corpus. Anchoring levels: 2 (OBL-032, 034, 035), 1 (OBL-033, 036).","SS; COFEPRIS; SCT (aviation and maritime); autoridades portuarias y aeroportuarias","procedural gap; update-review needed","IHR 2024 Art. 35 explicitly authorises health documents in digital or non-digital format (IHR24-CHG-032). Annex 6 authorises digital vaccination certificates (IHR24-CHG-056). The Maritime Declaration of Health is renamed to Maritime Ship Declaration of Health (IHR24-CHG-033). These changes may require review of whether domestic PoE health documentation requirements accommodate digital formats and whether relevant forms need updating to reflect the renamed instruments.","Relevant to information and reporting: digital health documentation connects to broader health information infrastructure obligations under the Agreement. PA_ART06_003.","No","Assess whether domestic PoE health document requirements (Reglamento Sanidad Internacional Art. 9) need updating for digital formats; verify that the renamed Maritime Ship Declaration of Health and digital vaccination certificate framework are reflected in domestic port health procedures; identify competent authority for issuing and accepting digital health documents at PoE.","medium","preliminary_ai_assisted","Based on OBL-032/033/034/035/036. IHR24-CHG-032/033/056. The 1985 Reglamento Sanidad Internacional predates digital health documentation; currency review is required. SCT (transport authority) may also have relevant regulatory competence not covered by this corpus."
