"norm_id","norm_title","short_title","instrument_type","normative_hierarchy","sector","subsector","issuing_authority","government_level","territorial_scope","legal_function","publication_date","last_amendment_date","version_date","source_file_md","source_file_metadata","official_source","source_status","structure_detected","main_internal_units","relevance_for_ihr","relevance_for_pandemic_agreement","relevance_for_legal_anchoring","requires_manual_review","notes","source_provenance_note"
"MEX-001","Ley sobre la Aprobación de Tratados Internacionales en Materia Económica","Ley aprobación tratados materia económica","federal_law","federal_or_national_law","international law / treaties; parliamentary oversight","treaties; legislative process","Congress of the Union / Cámara de Diputados","federal","national","governs parliamentary procedure; incorporates or governs international commitments","2004-09-02","TBD_REVIEW","2004-09-02","ley_aprobacion_tratados_internacionales_materia_economica_2004.md","ley_aprobacion_tratados_internacionales_materia_economica_2004_metadata.yml","Converted from PDF (B_271.pdf) via Cámara de Diputados","in_force","Yes","Chapters, Sections, Articles, Transitory Articles","Moderate — governs Senate approval procedure for international treaties; relevant for IHR and pandemic agreement treaty reception","Moderate — parliamentary approval procedures applicable to international health agreements","Moderate — procedural basis for adopting WHO instruments into domestic law","No","Law regulating Art. 93 CPEUM. Establishes Senate information and approval role for economic treaties. No amendment date identified in metadata; version matches publication date. Economic treaty focus may limit direct health treaty application.","converted markdown from PDF"
"MEX-002","Ley General de Salud","Ley General de Salud","general_law","general_law","health; public administration","public health; epidemiological surveillance; health emergency; health products; sanitary control","Congress of the Union / Cámara de Diputados","federal","national","distributes competences; creates institutional mandates; regulates health governance; regulates emergency powers","TBD_REVIEW","2026-01-15","2026-01-15","ley_general_de_salud_latest_reforms_2026_01_15.md","ley_general_de_salud_latest_reforms_2026_01_15_metadata.yml","Converted from PDF (C_LGS-6.pdf) via Cámara de Diputados","in_force","Yes","Titles, Chapters, Articles, Transitory Articles","High — primary health governance framework; regulates National Health System, Consejo de Salubridad General, health emergency powers and epidemiological surveillance","High — central reference for domestic implementation of pandemic-related obligations","High — reglamentary law of the constitutional right to health (Art. 4 CPEUM); core normative anchor for health sector","No","Ley General enacted under Art. 4 CPEUM. Key for federal-state competence distribution, National Health System, Consejo de Salubridad General, and health emergency powers. Original publication date not in metadata.","converted markdown from PDF"
"MEX-003","Ley sobre la Celebración de Tratados","Ley celebración de tratados","federal_law","federal_or_national_law","international law / treaties","treaties","Congress of the Union / Cámara de Diputados","federal","national","incorporates or governs international commitments; distributes competences","TBD_REVIEW","2025-11-14","2025-11-14","ley_sobre_celebracion_de_tratados_latest_reform_2025.md","ley_sobre_celebracion_de_tratados_latest_reform_2025_metadata.yml","Converted from PDF (B_LSCT.pdf) via Cámara de Diputados","in_force","Yes","Articles, Transitory Article, Reform Transitories","High — governs conclusion, signature, ratification and implementation of treaties; directly relevant for IHR domestic reception","High — procedural framework for pandemic agreement adoption and implementation","High — legal basis for international health treaty obligations and interinstitutional agreements","No","Regulates treaty-making power under Art. 76 CPEUM. Governs interinstitutional agreements and international dispute resolution. Original publication date not in metadata.","converted markdown from PDF"
"MEX-004","Constitución Política de los Estados Unidos Mexicanos","CPEUM latest reform 2026-04-23","constitution","constitution","constitutional; human rights; public administration; health","public health; federalism; administrative legality; treaties; legislative process; oversight","Cámara de Diputados del H. Congreso de la Unión / Secretaría de Servicios Parlamentarios","federal","national","establishes constitutional principles; distributes competences; creates oversight mechanisms; incorporates or governs international commitments","TBD_REVIEW","2026-04-23","2026-04-23","mexico_constitution_cpeum_latest_reform_2026_04_23.md","mexico_constitution_cpeum_latest_reform_2026_04_23_metadata.yml","Converted from PDF (CPEUM-20.pdf) via Cámara de Diputados","in_force","Yes","Titles, Chapters, Sections, Articles, Transitory Articles","High — foundational: Art. 1 (human rights and pro persona principle), Art. 4 (right to health), Art. 73 frac. XVI (federal health powers), Consejo de Salubridad General, treaty reception","High — constitutional basis for treaty obligations, emergency powers and health governance framework","High — supreme normative anchor for all legal analysis in NormTrace-IHR","Yes","Apex norm of the Mexican legal system. Post-2011 Art. 1 reform created a block of constitutionality (bloque de constitucionalidad) that may elevate international human rights treaties to constitutional rank. SCJN jurisprudence on hierarchy between CPEUM and international human rights treaties is complex. Requires manual review for nuanced hierarchy analysis. Original publication date (1917-02-05) not in metadata.","converted markdown from PDF"
"MEX-005","Ley Federal de Procedimiento Administrativo","LFPA","federal_law","federal_or_national_law","public administration; administrative procedure","administrative legality; other","Congreso de la Unión","federal","federal administration","regulates administrative procedure; creates oversight mechanisms","TBD_REVIEW","2025-11-14","2025-11-14","mexico_federal_administrative_procedure_law_lfpa_2025.md","mexico_federal_administrative_procedure_law_lfpa_2025_metadata.yml","Converted from PDF (D_LFPA.pdf) via Cámara de Diputados","in_force","Yes","Titles, Chapters, Articles","Moderate — procedural framework for administrative acts; relevant for health regulation enforcement, publication of general administrative acts and administrative appeals","Low — general administrative law; indirect relevance for enforcement mechanisms","Moderate — procedural basis for health administrative acts and regulatory instruments","No","General administrative procedure statute applicable to federal public administration. Has supplementary application to sector-specific laws including health sector. Original publication date not in metadata.","converted markdown from PDF"
"MEX-006","Ley Federal de Presupuesto y Responsabilidad Hacendaria","LFPRH","federal_law","federal_or_national_law","budget / public finance","budget planning; oversight","Congreso de la Unión","federal","federal","governs planning or budgeting; creates oversight mechanisms","TBD_REVIEW","2026-04-09","2026-04-09","mexico_federal_budget_and_fiscal_responsibility_law_lfprh_2026.md","mexico_federal_budget_and_fiscal_responsibility_law_lfprh_2026_metadata.yml","Converted from PDF (F_LFPRH-7.pdf) via Cámara de Diputados","in_force","Yes","Titles, Chapters, Articles","Moderate — governs federal budget programming and fiscal responsibility; relevant for evaluating financial sustainability of IHR implementation","Moderate — financing mechanisms framework for health emergency responses","Low — indirect; conditions resource availability for health sector mandates","No","Regulates Arts. 74 frac. IV and related constitutional provisions on federal public resources. Relevant for analysis of financial capacity to fulfill IHR and pandemic agreement obligations. Original publication date not in metadata.","converted markdown from PDF"
"MEX-007","Ley General de Protección de Datos Personales en Posesión de Sujetos Obligados","LGPDPPSO","general_law","general_law","data protection; public administration","personal data; health products","Congreso de la Unión","federal and subnational","national — federal and subnational public authorities","governs data/information; creates institutional mandates","TBD_REVIEW","2025-11-14","2025-11-14","mexico_general_personal_data_public_subjects_law_2025.md","mexico_general_personal_data_public_subjects_law_2025_metadata.yml","Converted from PDF (G_LGPDPPSO.pdf) via Cámara de Diputados","in_force","Yes","Titles, Chapters, Articles","Moderate — governs personal data treatment in public health surveillance and health information systems","Moderate — data sharing and privacy protections relevant to health emergency contexts","Moderate — data protection constraints on IHR-mandated information sharing obligations","No","General law applicable to federal, state and municipal obligated subjects. Reglamentary of Arts. 6 and 16 CPEUM. Relevant for health data governance in surveillance, reporting and emergency response systems. Original publication date not in metadata.","converted markdown from PDF"
"MEX-008","Ley General de Transparencia y Acceso a la Información Pública","LGTAIP","general_law","general_law","transparency; public administration","access to information; oversight","Congreso de la Unión","federal and subnational","national — federal, state and municipal obligated subjects","governs data/information; creates oversight mechanisms; creates institutional mandates","2025-03-20","2025-03-20","2025-03-20","mexico_general_transparency_access_information_law_lgtaip_2025.md","mexico_general_transparency_access_information_law_lgtaip_2025_metadata.yml","Converted from PDF (G_LGTAIP-2.pdf) via Cámara de Diputados","in_force","Yes","Titles, Chapters, Sections, Articles","Moderate — transparency obligations applicable to health sector; relevant for public access to health emergency data and reporting","Moderate — proactive transparency and accountability mechanisms applicable in pandemic response","Low — indirect; transparency framework applicable to health institutions as obligated subjects","No","Nueva Ley DOF 20-03-2025; replaces previous LGTAIP. Reglamentary of Art. 6 CPEUM. Governs proactive transparency and access to information for all obligated subjects. Date field in metadata reflects new law publication date.","converted markdown from PDF"
"MEX-009","Ley Orgánica de la Administración Pública Federal","LOAPF","organic_law","federal_or_national_law","public administration","federalism; administrative legality","Congreso de la Unión","federal","federal","distributes competences; creates institutional mandates","TBD_REVIEW","2025-07-16","2025-07-16","mexico_organic_law_federal_public_administration_loapf_2025.md","mexico_organic_law_federal_public_administration_loapf_2025_metadata.yml","Converted from PDF (D_LOAPF-10.pdf) via Cámara de Diputados","in_force","Yes","Titles, Chapters, Articles","High — defines Secretaría de Salud institutional mandate, competences of intersecretarial bodies; key for identifying IHR National Focal Point and competent authorities","High — institutional architecture for pandemic response coordination and inter-ministerial governance","High — competence anchor for health sector institutional actors; needed to verify delegation chains","No","Organic law under Art. 90 CPEUM. Note: in Mexico, leyes orgánicas do not have special supralegislative rank; they operate at federal law level. Key for identifying Secretarías with health mandates, interministerial coordination and Consejo de Salubridad General administrative placement. Original publication date not in metadata.","converted markdown from PDF"
"MEX-010","Ley de Planeación","Ley de Planeación","federal_law","federal_or_national_law","planning; public administration","budget planning; oversight","Congreso de la Unión","federal","federal","governs planning or budgeting; creates institutional mandates","TBD_REVIEW","2026-01-15","2026-01-15","mexico_planning_law_lplan_2026.md","mexico_planning_law_lplan_2026_metadata.yml","Converted from PDF (F_LPlan-4.pdf) via Cámara de Diputados","in_force","Yes","Chapters, Articles","Moderate — National Development Plan framework; relevant for health sector planning and intersectoral coordination for IHR implementation","Moderate — planning framework for health emergency preparedness programs and sectoral strategies","Low — indirect; shapes sectoral health planning obligations linked to National Development Plan","No","Framework for the National Democratic Planning System and National Development Plan. Links to budgetary evaluation and sectoral programs. Relevant for health sector long-term preparedness planning. Original publication date not in metadata.","converted markdown from PDF"
"MEX-011","Ley de Infraestructura de la Calidad","LICal","federal_law","federal_or_national_law","quality infrastructure / standards; regulatory governance","technical standards; laboratories; sanitary control","Congreso de la Unión","federal","federal","creates technical standards; creates institutional mandates; regulates administrative procedure","2020-07-01","2020-07-01","2020-07-01","mexico_quality_infrastructure_law_lical_2020.md","mexico_quality_infrastructure_law_lical_2020_metadata.yml","Converted from PDF (E_LICal_010720-4.pdf) via Cámara de Diputados","in_force","Yes","Books, Titles, Chapters, Articles","Moderate — governs NOM issuance process; NOM-017 (epidemiological surveillance) derives authority from this framework","Moderate — technical standards framework for health products, surveillance instruments and conformity assessment","Moderate — legal basis for issuing NOMs relevant to health, laboratory and emergency management standards","No","Nueva Ley DOF 01-07-2020; replaces former Ley Federal sobre Metrología y Normalización (LFMN). Governs Mexican Official Standards (NOMs), standardization, accreditation and conformity assessment. Date in metadata reflects new law publication date.","converted markdown from PDF"
"MEX-012","NOM-017-SSA2-2012, Para la vigilancia epidemiológica","NOM-017 vigilancia epidemiológica","nom_official_mexican_standard","nom_or_technical_standard","health; quality infrastructure / standards","epidemiological surveillance; public health; laboratories","Secretaría de Salud","federal","national","creates technical standards; regulates health governance","2013-02-19","TBD_REVIEW","2013-02-19","nom_017_ssa2_2012_vigilancia_epidemiologica.md","nom_017_ssa2_2012_vigilancia_epidemiologica_metadata.yml","Converted from PDF (C_00_NOM-017-SSA2-2012_para_vig_epidemiologica.pdf)","in_force","Partial","Sections, Appendices A-B-C, Index","High — mandatory standard for epidemiological surveillance; directly implements IHR surveillance obligations at the domestic operational level","High — operational surveillance framework directly relevant to pandemic alert, notification and response","High — key technical anchoring instrument for IHR domestic implementation; operational companion to LGS health governance provisions","Yes","Mandatory NOM governing epidemiological surveillance systems. DOF publication date 2013-02-19 (NOM number refers to 2012 elaboration year). MD structure partial: heading detection limited; contains appendices (A, B, C) and operational manuals referenced but not fully captured. Amendment date not in metadata; currency should be verified against DOF.","converted markdown from PDF"
"MEX-013","Acuerdo por el que se reforman, adicionan y derogan diversas disposiciones del Reglamento Interior de la Comisión del Compendio Nacional de Insumos para la Salud","Reforma Comisión Compendio Nacional de Insumos 2023","administrative_agreement","administrative_agreement","health; regulatory governance","health products; sanitary control","Consejo de Salubridad General","federal","federal","creates institutional mandates; regulates administrative procedure; regulates health governance","2023-06-30","2023-06-30","2023-06-30","[ARCHIVED] reforma_reglamento_interior_comision_compendio_insumos_salud_2023.md","[ARCHIVED] reforma_reglamento_interior_comision_compendio_insumos_salud_2023_metadata.yml","Converted from DOC (C_reg083_30jun23.doc) via DOF","superseded","Partial","Transitory Articles","Moderate — partial reform text only; excluded from active corpus","Low — partial reform; excluded from active corpus","Low — subsidiary reform instrument; not used as active anchoring source","Yes","ARCHIVED — partial reform text only. Moved to 99_archive/superseded_sources/mexico/. Not used as active corpus input. DOF administrative agreement issued by Consejo de Salubridad General. MD structure minimal — only transitory articles detected. Original source was .doc file.","superseded / archived / not active"
"MEX-014","Decreto por el que se reforman y derogan diversas disposiciones del Reglamento Interior de la Secretaría de Salud","Reforma Reglamento Interior Secretaría de Salud 2018","decree","internal_regulation","health; public administration","administrative legality; other","Presidencia de la República / Secretaría de Salud","federal","federal","creates institutional mandates; regulates administrative procedure","2018-02-07","2018-02-07","2018-02-07","[ARCHIVED] reforma_reglamento_interior_secretaria_salud_dof_2018_02_07.md","[ARCHIVED] reforma_reglamento_interior_secretaria_salud_dof_2018_02_07_metadata.yml","Converted from DOC (C_n23_07feb18.doc) via DOF","superseded","Partial","Transitory Articles","Low — partial reform text only; excluded from active corpus; full RI 2025 (MEX-017) is active source","Low — excluded from active corpus","Low — subsidiary reform decree; superseded by full RI 2025","Yes","ARCHIVED — partial reform text only; superseded by Reglamento Interior 2025 (MEX-017). Moved to 99_archive/superseded_sources/mexico/. Not used as active corpus input. MD structure minimal — only transitory articles detected.","superseded / archived / not active"
"MEX-015","Reglamento de la Ley General de Salud en Materia de Investigación para la Salud","Reglamento LGS investigación para la salud","regulation","regulation","health; science and technology","public health; laboratories","Presidencia de la República / Secretaría de Salud","federal","national","creates technical standards; creates institutional mandates; regulates health governance","TBD_REVIEW","2014-04-02","2014-04-02","reglamento_lgs_materia_investigacion_salud_latest_reform_2014.md","reglamento_lgs_materia_investigacion_salud_latest_reform_2014_metadata.yml","Converted from PDF (C_Reg_LGS_MIS.pdf) via Secretaría de Salud","in_force","Yes","Titles, Chapters, Articles","Moderate — governs health research governance; relevant for research ethics, biobank standards and laboratory frameworks","Moderate — research governance framework with implications for pandemic preparedness and response research","Moderate — executive regulation under LGS establishing research mandates and institutional coordination","No","Executive regulation under Ley General de Salud governing health research. Original publication date not in metadata. Last reform dates to 2014; currency and alignment with current research governance standards should be verified.","converted markdown from PDF"
"MEX-016","Reglamento de la Ley General de Salud en Materia de Sanidad Internacional","Reglamento LGS sanidad internacional","regulation","regulation","health; international law / treaties","public health; epidemiological surveillance; health emergency","Presidencia de la República / Secretaría de Salud","federal","national — ports, airports, border crossings and international health points","regulates health governance; regulates emergency powers; incorporates or governs international commitments","1985-02-18","TBD_REVIEW","1985-02-18","reglamento_lgs_materia_sanidad_internacional_1985.md","reglamento_lgs_materia_sanidad_internacional_1985_metadata.yml","Converted from PDF (C_Reg_LGS_MSI.pdf) via Secretaría de Salud","in_force","Yes","Chapters, Articles","High — directly implements international sanitary control at ports, airports and border crossings; most direct domestic operational correlate of IHR core capacities","High — operational framework for international health border controls and notification to WHO","High — key regulatory anchor for IHR domestic implementation; bridges international obligations and national operational procedures","Yes","Original regulation DOF 1985-02-18; errata DOF 1985-07-10. Predates IHR 2005 by 20 years. Alignment with IHR 2005 obligations and current international health law must be verified. No amendment date identified in metadata; requires review of whether this regulation has been updated since 1985 or superseded by other instruments.","converted markdown from PDF"
"MEX-017","Reglamento Interior de la Secretaría de Salud","Reglamento Interior SS 2025","internal_regulation","internal_regulation","health; public administration; health governance","public administration; health governance; epidemiological surveillance; sanitary control; international health relations","Presidencia de la República — Presidenta Claudia Sheinbaum Pardo; refrendado por David Kershenobich Stalnikowitz, Secretario de Salud","federal","national","creates institutional mandates; distributes competences; regulates health governance; regulates emergency powers","2025-02-27","2025-02-27","2025-02-27","mexico_reglamento_interior_secretaria_salud_2025.md","mexico_reglamento_interior_secretaria_salud_2025_metadata.yml","Diario Oficial de la Federación (DOF) 2025-02-27","in_force","Yes","Chapters, Articles (I–XIV), Transitory Articles, Suplencias","High — Art. 35 frac. XIX designates DGE as IHR national focal point liaison (enlace para el RSI); defines surveillance, laboratory, emergency and international coordination competences","High — defines institutional architecture for health emergency response, coordination between units, COFEPRIS role, SNSP deployment","High — active source for mapping administrative competences, actor attributions and IHR anchoring at reglamentary level","Yes","Complete 2025 version replacing the 2004 Reglamento Interior and all partial reforms. Abrogates RI DOF 19-01-2004. Active source for NormTrace-IHR. Key articles: Art. 2 (administrative structure); Art. 7 (Titular competences); Art. 33 (DG Relaciones Internacionales); Art. 35 (DGE — RSI focal point); Art. 43 (Servicio Nacional de Salud Pública); Art. 52 (CENAPRECE). COFEPRIS listed as deconcentrated body (Art. 2 C frac. II). Conversion from PDF; legal validation recommended before citing provisions.","converted markdown from PDF"
"MEX-018","Ley Aduanera","Ley Aduanera","federal_law","federal_or_national_law","customs / borders","customs; trade; borders; goods","Congreso de los Estados Unidos Mexicanos","federal","federal","regulates administrative procedure; creates oversight mechanisms; creates institutional mandates","1995-12-15","2025-11-19","2025-11-19","mexico_ley_aduanera_latest_reform_2025_11_19.md","mexico_ley_aduanera_latest_reform_2025_11_19_metadata.yml","Converted from PDF (LAdua.pdf) via Cámara de Diputados","in_force","Yes","Titles, Chapters, Articles","Moderate — governs entry and exit of goods at customs; relevant for IHR points of entry, cargo, conveyances, health products, import/export of sanitary inputs","Moderate — customs framework for supply chains, import/export of health products, PABS-related materials; peripheral infrastructure for pandemic agreement obligations","Moderate — peripheral legal infrastructure; not a health law but relevant for implementation of IHR port/airport/border obligations and supply chain commitments","No","Federal customs statute. Last reform DOF 2025-11-19; amounts updated by Reglas Generales de Comercio Exterior DOF 2025-12-27. Not to be treated as health law; classified as peripheral legal infrastructure relevant for IHR and Pandemic Agreement implementation via customs procedures at points of entry.","converted markdown from PDF"
